Device Info:
Type:,Intel RealSense D455
HW Id:,0B5C
Serial Num:,146222250580
Firmware Ver:,5.17.0.10

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,848x480,30
Infrared 1,Y8,848x480,30

Environment:
Plane-Fit_distance_mm,1523.026001
Ground-Truth_Distance_mm,N/A

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error pixel,Temporal Noise %,Plane Fit RMS Error mm ,
126,13425,448126.9733,100.0000,,0.3419,0.0384,0.2005,5.2045,
127,13429,448247.0444,100.0000,,0.3527,0.0398,0.1992,5.3695,
128,13432,448366.1232,100.0000,,0.3576,0.0402,0.1992,5.4470,
129,13435,448483.3398,100.0000,,0.3391,0.0381,0.1986,5.1633,
130,13439,448602.7142,100.0000,,0.3646,0.0414,0.1993,5.5496,
131,13442,448726.3670,100.0000,,0.3625,0.0413,0.1983,5.5191,
132,13447,448835.3505,100.0000,,0.3556,0.0401,0.1987,5.4137,
133,13449,448956.3024,100.0000,,0.3767,0.0426,0.1983,5.7359,
134,13453,449076.0403,100.0000,,0.3815,0.0439,0.1994,5.8063,
135,13457,449194.6910,100.0000,,0.3737,0.0423,0.1991,5.6935,
136,13460,449309.0158,100.0000,,0.3379,0.0380,0.1990,5.1460,
137,13464,449426.5112,100.0000,,0.3675,0.0417,0.1993,5.5961,
138,13467,449547.6782,100.0000,,0.3539,0.0400,0.1994,5.3887,
139,13471,449659.9363,100.0000,,0.3625,0.0415,0.1995,5.5192,
140,13474,449778.3220,100.0000,,0.3539,0.0402,0.1994,5.3891,
141,13479,449894.4355,100.0000,,0.3512,0.0398,0.1997,5.3490,
